"Wikipedia name
 in English","Wikipedia name
in native language",Language,"Script (ISO
15924 code)","WP
code","Active
users",Launch date,Logo
Norwegian (Nynorsk) Wikipedia,Norsk (Nynorsk) Wikipedia,Norwegian (Nynorsk),Latn,nn,128,"<span data-sort-value=""000000002004-07-31-0000"" style=""white-space:nowrap"">31 July 2004",
Breton Wikipedia,Wikipedia e brezhoneg,Breton,Latn,br,125,"<span data-sort-value=""000000002004-06-01-0000"" style=""white-space:nowrap"">June 2004 (unknown day)",
Tagalog Wikipedia,Wikipediang Tagalog,Tagalog,Latn,tl,122,"<span data-sort-value=""000000002003-12-01-0000"" style=""white-space:nowrap"">1 December 2003",
Burmese Wikipedia,"မြန်မာဝီကီပီးဒီးယား
(Mranma wikipi:di:ya:)",Burmese,Mymr,my,119,"<span data-sort-value=""000000002004-07-01-0000"" style=""white-space:nowrap"">July 2004 (unknown day)",
Javanese Wikipedia,Wikipedia basa Jawa,Javanese,Latn,jv,115,"<span data-sort-value=""000000002004-03-08-0000"" style=""white-space:nowrap"">8 March 2004",
Kannada Wikipedia,"ಕನ್ನಡ ವಿಕಿಪೀಡಿಯ
(Kannaḍa vikipīḍiya)",Kannada,Knda,kn,113,"<span data-sort-value=""000000002003-06-01-0000"" style=""white-space:nowrap"">June 2003 (unknown day)",
Mongolian Wikipedia,"Монгол Википедиа
(Mongol Vikipyedia)",Mongolian,Cyrl,mn,113,"<span data-sort-value=""000000002004-02-28-0000"" style=""white-space:nowrap"">28 February 2004",
Welsh Wikipedia,Wicipedia Cymraeg,Welsh,Latn,cy,112,"<span data-sort-value=""000000002003-07-01-0000"" style=""white-space:nowrap"">July 2003 (unknown day)",
Belarusian Wikipedia (Classical),"Беларуская Вікіпэдыя
(Bielaruskaja Vikipiedyja)","Belarusian
(Taraškievica orthography)",Cyrl,be-tarask,111,"<span data-sort-value=""000000002007-03-27-0000"" style=""white-space:nowrap"">27 March 2007",
South Azerbaijani Wikipedia,"تورکجه ویکی‌پدیا
(Azərbaycanca Vikipediya)",South Azerbaijani,Arab,azb,98,"<span data-sort-value=""000000002015-07-01-0000"" style=""white-space:nowrap"">July 2015",
Asturian Wikipedia,Wikipedia n'asturianu,Asturian,Latn,ast,94,"<span data-sort-value=""000000002004-07-20-0000"" style=""white-space:nowrap"">20 July 2004",
Alemannic Wikipedia,Alemannische Wikipedia,Alemannic German,Latn,als,92,"<span data-sort-value=""000000002003-11-13-0000"" style=""white-space:nowrap"">13 November 2003",
Punjabi Wikipedia,"ਪੰਜਾਬੀ ਵਿਕੀਪੀਡੀਆ
(Pañjābī vikīpīḍīā)",Punjabi,Guru,pa,89,"<span data-sort-value=""000000002002-06-03-0000"" style=""white-space:nowrap"">3 June 2002",
Nepali Wikipedia,"नेपाली विकिपिडिया
(Nepālī vikipiḍiyā)",Nepali,Deva,ne,88,"<span data-sort-value=""000000002002-06-03-0000"" style=""white-space:nowrap"">3 June 2002",
Kurdish Wikipedia,"Wîkîpediya kurdî
(ویکیپەدیا کوردی)",Kurdish (Kurmanji),Latn/Arab,ku,87,"<span data-sort-value=""000000002004-01-04-0000"" style=""white-space:nowrap"">4 January 2004",
Kyrgyz Wikipedia,"Кыргыз Википедиясы
(Kırgız Wikipediya)",Kyrgyz,Cyrl,ky,87,"<span data-sort-value=""000000002002-06-03-0000"" style=""white-space:nowrap"">3 June 2002",
Igbo Wikipedia,Wikipedia Igbo,Igbo,Latn,ig,85,Unknown date,
Scots Wikipedia,Scots Wikipædia,Scots,Latn,sco,82,"<span data-sort-value=""000000002005-06-23-0000"" style=""white-space:nowrap"">23 June 2005",
Southern Min Wikipedia,"Pe̍h-ōe-jī: Holopedia or
Wikipedia Bân-lâm-gú",Southern Min,Latn,zh-min-nan,82,"<span data-sort-value=""000000002004-05-28-0000"" style=""white-space:nowrap"">28 May 2004",
Occitan Wikipedia,Wikipèdia en occitan,Occitan,Latn,oc,81,"<span data-sort-value=""000000002003-10-20-0000"" style=""white-space:nowrap"">20 October 2003",
Tatar Wikipedia,"Татар Википедиясе
(Tatar Wikipediäse)",Tatar,Cyrl,tt,80,"<span data-sort-value=""000000002003-09-15-0000"" style=""white-space:nowrap"">15 September 2003",
Luxembourgish Wikipedia,Wikipedia op Lëtzebuergesch,Luxembourgish,Latn,lb,77,"<span data-sort-value=""000000002004-07-21-0000"" style=""white-space:nowrap"">21 July 2004",
Sinhala Wikipedia,"සිංහල විකිපීඩියා
(Siṁhala wikipīḍiyā)",Sinhala,Sinh,si,76,Unknown date,
Assamese Wikipedia,"অসমীয়া ৱিকিপিডিয়া
(Ôxômiya wikipidiya)",Assamese,Beng,as,75,"<span data-sort-value=""000000002002-06-02-0000"" style=""white-space:nowrap"">2 June 2002",
Irish Wikipedia,Vicipéid na Gaeilge,Irish,Latn,ga,73,"<span data-sort-value=""000000002003-10-01-0000"" style=""white-space:nowrap"">October 2003 (unknown day)",
Khmer Wikipedia,"វិគីភីឌាភាសាខ្មែរ
(Vikiiphiidiaa phiăsaa khmae)",Khmer,Khmr,km,73,"<span data-sort-value=""000000002005-01-15-0000"" style=""white-space:nowrap"">15 January 2005",
Tajik Wikipedia,"Википедияи Тоҷикӣ
(Vikipedijai Toçikī)",Tajik,Cyrl/Latn,tg,69,"<span data-sort-value=""000000002004-01-27-0000"" style=""white-space:nowrap"">27 January 2004",
Waray Wikipedia,Waray Wikipedia,Waray,Latn,war,69,"<span data-sort-value=""000000002005-09-25-0000"" style=""white-space:nowrap"">25 September 2005",
